#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
 ; ;10+37W;0.1nm;Msun;Msun;deg;deg
------------------;-------;--------;-----;---------;---------;---------;---------
000013.14+141034.6; 0.9491; 1.8e+01; 20.1; 6.01e+08; 1.27e+08;000.05479;+14.17630
000017.38-085123.7; 1.2499; 7.1e+01; 26.8; 2.15e+09; 4.52e+08;000.07242;-08.85661
000024.02+152005.4; 0.9885; 2.0e+01; 21.0; 6.95e+08; 1.46e+08;000.10012;+15.33484
000026.29+134604.6; 0.7678; 1.3e+01; 16.1; 3.22e+08; 6.78e+07;000.10958;+13.76797
000028.82-102755.7; 1.1377; 3.3e+01; 26.3; 1.36e+09; 2.86e+08;000.12009;-10.46550
000035.75-103305.3; 1.2177; 2.8e+01; 22.4; 9.37e+08; 1.97e+08;000.14897;-10.55150
000042.89+005539.5; 0.9512; 5.9e+01; 16.3; 7.09e+08; 1.49e+08;000.17875;+00.92766
000049.46-100043.8; 1.1375; 7.8e+00; 20.3; 3.91e+08; 8.24e+07;000.20611;-10.01218
000053.09-003712.8; 1.3201; 6.1e+01; 18.4; 9.21e+08; 1.94e+08;000.22122;-00.62024
000053.71+150637.1; 1.4111; 3.9e+01; 18.0; 7.09e+08; 1.49e+08;000.22383;+15.11033
000057.67-085617.0; 1.0948; 6.4e+01; 15.7; 6.84e+08; 1.44e+08;000.24032;-08.93806
000058.22-004646.5; 1.8951; 9.5e+01; 19.5; 1.30e+09; 2.74e+08;000.24260;-00.77960
000058.77+003510.5; 1.6547; 6.3e+01; 22.8; 1.44e+09; 3.04e+08;000.24489;+00.58626
000118.40-010221.8; 1.9685; 6.5e+01; 23.4; 1.39e+09; 2.92e+08;000.32667;-01.03939
000119.64+154828.8; 1.9242; 7.8e+01; 16.8; 9.09e+08; 1.91e+08;000.33183;+15.80800
000120.23-111104.2; 1.4131; 3.8e+01; 26.8; 1.58e+09; 3.34e+08;000.33432;-11.18450
000123.96-102458.1; 1.0575; 5.3e+01; 19.1; 9.21e+08; 1.94e+08;000.34984;-10.41615
000124.23-093349.8; 1.6337; 5.5e+01; 21.6; 1.23e+09; 2.60e+08;000.35096;-09.56384
000139.42+152624.1; 1.7897; 1.5e+02; 18.6; 1.46e+09; 3.08e+08;000.41427;+15.44004
000139.64-103824.1; 1.8206; 5.7e+01; 17.2; 8.03e+08; 1.69e+08;000.41517;-10.64003
000141.43+002356.3; 0.9347; 2.0e+01; 17.0; 4.61e+08; 9.71e+07;000.42265;+00.39899
000143.31-104448.8; 1.3405; 3.6e+01; 19.1; 7.64e+08; 1.61e+08;000.43046;-10.74691
000159.56+135933.4; 1.2721; 3.6e+01; 15.9; 5.34e+08; 1.12e+08;000.49819;+13.99263
000205.45-104936.9; 0.9299; 5.9e+01; 15.8; 6.75e+08; 1.42e+08;000.52275;-10.82694
000216.62+134916.3; 1.2716; 3.8e+01; 18.7; 7.60e+08; 1.60e+08;000.56926;+13.82121
000219.34-105259.6; 1.7620; 3.0e+01; 38.2; 2.89e+09; 6.09e+08;000.58060;-10.88323
000220.76-104248.5; 1.0164; 3.1e+01; 17.9; 6.27e+08; 1.32e+08;000.58651;-10.71348
000221.80+151454.5; 1.8235; 9.6e+01; 19.3; 1.29e+09; 2.72e+08;000.59086;+15.24849
000222.47-000443.5; 0.8104; 3.1e+01; 19.5; 7.40e+08; 1.56e+08;000.59364;-00.07875
000226.10+000549.1; 1.6512; 1.1e+02; 15.5; 8.75e+08; 1.84e+08;000.60875;+00.09698
000230.71+004959.0; 1.3527; 1.1e+02; 22.2; 1.78e+09; 3.75e+08;000.62797;+00.83306
000253.25-085530.9; 0.8497; 1.6e+01; 15.3; 3.27e+08; 6.89e+07;000.72191;-08.92526
000316.00-095951.7; 1.4284; 4.2e+01; 16.0; 5.73e+08; 1.21e+08;000.81670;-09.99771
000319.86-090156.2; 1.7602; 2.7e+02; 16.6; 1.61e+09; 3.38e+08;000.83279;-09.03228
000334.10+152753.8; 0.9007; 1.8e+01; 16.4; 4.01e+08; 8.45e+07;000.89212;+15.46496
000341.21-094101.0; 1.7391; 3.4e+01; 18.3; 6.46e+08; 1.36e+08;000.92175;-09.68363
000342.08+153628.7; 1.5682; 5.2e+01; 16.4; 6.79e+08; 1.43e+08;000.92535;+15.60798
000345.23-110818.5; 1.5698; 3.6e+01; 22.4; 1.02e+09; 2.15e+08;000.93847;-11.13850
000405.44+141951.9; 0.7917; 1.3e+01; 14.2; 2.68e+08; 5.64e+07;001.02271;+14.33110
000406.37-103815.2; 1.2686; 3.7e+01; 18.0; 6.87e+08; 1.45e+08;001.02655;-10.63756
000419.47-110536.0; 1.2395; 4.0e+01; 23.1; 1.18e+09; 2.49e+08;001.08114;-11.09334
000421.02-003403.1; 1.4603; 5.3e+01; 19.4; 9.55e+08; 2.01e+08;001.08761;-00.56754
000422.29-090219.4; 1.8588; 1.6e+02; 15.6; 1.07e+09; 2.26e+08;001.09291;-09.03872
000433.93-004844.7; 1.2946; 3.6e+01; 20.2; 8.53e+08; 1.80e+08;001.14138;-00.81243
000434.01-100452.4; 1.0197; 4.8e+01; 18.6; 8.45e+08; 1.78e+08;001.14173;-10.08124
000442.18+000023.3; 1.0077; 2.3e+01; 26.8; 1.21e+09; 2.55e+08;001.17579;+00.00648
000447.79-104855.2; 0.8845; 2.0e+01; 20.7; 6.83e+08; 1.44e+08;001.19915;-10.81534
000448.40-100153.5; 0.8884; 1.6e+01; 19.0; 5.12e+08; 1.08e+08;001.20168;-10.03153
000454.57-104230.1; 1.1279; 5.4e+01; 19.6; 9.75e+08; 2.05e+08;001.22741;-10.70837
000455.44-110637.9; 1.1183; 5.3e+01; 19.3; 9.35e+08; 1.97e+08;001.23103;-11.11054
000459.58+160225.0; 1.1480; 3.0e+01; 18.2; 6.35e+08; 1.34e+08;001.24828;+16.04029
000507.05-101008.7; 1.2954; 4.4e+01; 18.0; 7.67e+08; 1.61e+08;001.27941;-10.16909
000510.83-092534.9; 1.8665; 5.3e+01; 20.4; 1.04e+09; 2.19e+08;001.29515;-09.42637
000510.88-091400.0; 1.5438; 6.1e+01; 20.6; 1.13e+09; 2.39e+08;001.29534;-09.23336
000519.39+144422.6; 0.8582; 5.0e+01; 15.3; 5.80e+08; 1.22e+08;001.33082;+14.73961
000524.82-084502.8; 1.0674; 4.1e+01; 17.9; 7.13e+08; 1.50e+08;001.35346;-08.75080
000531.06+000951.0; 0.9406; 2.2e+01; 20.5; 6.88e+08; 1.45e+08;001.37944;+00.16417
000546.48-002413.9; 1.7298; 4.9e+01; 19.4; 9.41e+08; 1.98e+08;001.44370;-00.40388
000548.24-084808.4; 1.1898; 1.1e+02; 21.8; 1.76e+09; 3.70e+08;001.45100;-08.80234
000549.05-003435.5; 1.6240; 5.8e+01; 17.7; 8.75e+08; 1.84e+08;001.45439;-00.57654
000602.17-005358.1; 1.8554; 2.8e+01; 16.7; 7.30e+08; 1.54e+08;001.50904;-00.89949
000608.04-010700.7; 0.9486; 2.7e+01; 23.0; 9.60e+08; 2.02e+08;001.53351;-01.11686
000612.31-104310.6; 1.7353; 9.7e+01; 16.1; 8.49e+08; 1.79e+08;001.55133;-10.71962
000623.57+144710.7; 1.1287; 2.7e+01; 15.1; 4.14e+08; 8.71e+07;001.59822;+14.78631
000627.03+160600.8; 1.6781; 5.5e+01; 19.1; 9.58e+08; 2.02e+08;001.61266;+16.10024
000629.29-093550.9; 1.7582; 1.3e+02; 24.3; 2.37e+09; 4.99e+08;001.62205;-09.59748
000639.20+142156.1; 1.3920; 1.3e+02; 20.4; 1.68e+09; 3.54e+08;001.66335;+14.36560
000645.48-085323.5; 1.4057; 3.1e+01; 28.5; 1.61e+09; 3.39e+08;001.68952;-08.88987
000648.73-094036.9; 1.8350; 6.8e+01; 19.6; 1.10e+09; 2.32e+08;001.70308;-09.67693
000654.10-001533.4; 1.7252; 1.8e+02; 21.5; 2.18e+09; 4.60e+08;001.72545;-00.25928
000654.13+141133.1; 1.2987; 3.4e+01; 24.6; 1.22e+09; 2.57e+08;001.72557;+14.19253
000654.40+141442.7; 1.6359; 5.9e+01; 20.9; 1.18e+09; 2.49e+08;001.72670;+14.24521
000655.61+150917.6; 1.3995; 3.8e+01; 15.3; 4.97e+08; 1.05e+08;001.73173;+15.15491
000701.33+002242.3; 0.8880; 9.9e+01; 18.3; 1.16e+09; 2.44e+08;001.75554;+00.37844
000709.92+001854.2; 1.4309; 9.2e+01; 18.2; 1.10e+09; 2.31e+08;001.79135;+00.31507
000729.17+145811.1; 1.1379; 6.2e+00; 15.9; 7.21e+08; 1.52e+08;001.87157;+14.96976
000735.52-085435.1; 1.7778; 6.8e+01; 16.0; 7.49e+08; 1.58e+08;001.89800;-08.90977
000737.13+002003.2; 1.1003; 2.2e+01; 18.3; 5.53e+08; 1.16e+08;001.90474;+00.33423
000741.86-085230.1; 1.5110; 4.1e+01; 16.9; 6.61e+08; 1.39e+08;001.92443;-08.87505
000741.92-102223.1; 1.2635; 4.9e+01; 17.6; 7.53e+08; 1.59e+08;001.92469;-10.37309
000743.78-002432.4; 1.5400; 1.5e+02; 16.5; 1.16e+09; 2.44e+08;001.93244;-00.40901
000748.29+151746.0; 1.2398; 4.2e+01; 22.6; 1.16e+09; 2.44e+08;001.95121;+15.29613
000752.56+002110.2; 1.2703; 4.9e+01; 20.9; 1.08e+09; 2.27e+08;001.96900;+00.35285
000754.53-110033.9; 1.6761; 5.1e+01; 17.6; 7.88e+08; 1.66e+08;001.97722;-11.00944
000759.40+150822.6; 1.9680; 1.0e+02; 15.0; 7.78e+08; 1.64e+08;001.99752;+15.13963
000802.22+152408.8; 1.4321; 5.0e+01; 17.7; 7.80e+08; 1.64e+08;002.00926;+15.40245
000807.53+001619.0; 1.4780; 6.2e+01; 20.0; 1.13e+09; 2.37e+08;002.03139;+00.27195
000808.94-104312.3; 1.4369; 2.2e+01; 23.1; 8.20e+08; 1.73e+08;002.03727;-10.72009
000814.45+150946.9; 1.0324; 2.6e+01; 23.8; 1.01e+09; 2.13e+08;002.06023;+15.16303
000815.33-095854.3; 1.9498; 2.1e+02; 21.4; 2.21e+09; 4.66e+08;002.06388;-09.98177
000815.53-110137.0; 1.3620; 3.3e+01; 16.7; 5.53e+08; 1.17e+08;002.06473;-11.02697
000819.80-095430.2; 1.4579; 3.3e+01; 17.6; 6.18e+08; 1.30e+08;002.08253;-09.90840
000820.02-092921.0; 1.3576; 6.6e+01; 18.2; 9.41e+08; 1.98e+08;002.08345;-09.48917
000822.83-111010.6; 1.4451; 3.4e+01; 15.2; 4.72e+08; 9.95e+07;002.09516;-11.16962
000826.34-103825.9; 1.5748; 5.4e+01; 19.1; 9.29e+08; 1.96e+08;002.10976;-10.64053
000856.79+155045.7; 1.6909; 9.2e+01; 18.1; 1.08e+09; 2.27e+08;002.23666;+15.84605
000900.87-084618.8; 1.6165; 5.3e+01; 15.2; 5.99e+08; 1.26e+08;002.25363;-08.77189
000901.38+153947.9; 1.2436; 4.4e+01; 18.5; 7.95e+08; 1.68e+08;002.25576;+15.66333
000904.41-004332.8; 1.8286; 1.1e+02; 20.1; 1.51e+09; 3.17e+08;002.26841;-00.72579
000905.00+141228.9; 1.5180; 5.6e+01; 14.7; 5.70e+08; 1.20e+08;002.27086;+14.20803
000919.26+152355.1; 1.9349; 6.4e+01; 21.8; 1.30e+09; 2.74e+08;002.33027;+15.39864
000921.64-095949.1; 1.5356; 5.2e+01; 19.9; 1.02e+09; 2.16e+08;002.34021;-09.99698
000927.60+011055.7; 1.6703; 6.7e+01; 19.9; 1.14e+09; 2.39e+08;002.36503;+01.18214
000944.92-085001.1; 1.6140; 5.0e+01; 18.9; 8.99e+08; 1.89e+08;002.43719;-08.83366
000954.53-091351.7; 1.1676; 3.0e+01; 21.4; 8.82e+08; 1.86e+08;002.47725;-09.23103
001002.04+004224.5; 1.2116; 3.1e+01; 20.5; 8.09e+08; 1.70e+08;002.50851;+00.70683
001017.51-100238.8; 1.8190; 7.4e+01; 18.7; 1.11e+09; 2.34e+08;002.57297;-10.04414
001017.80+010450.7; 1.8180; 1.1e+02; 20.7; 1.52e+09; 3.20e+08;002.57417;+01.08076
001018.27+143338.8; 0.9011; 1.4e+01; 20.2; 5.41e+08; 1.14e+08;002.57615;+14.56078
001020.24-103059.1; 1.7425; 7.4e+01; 17.7; 8.94e+08; 1.88e+08;002.58434;-10.51643
001021.16-102546.2; 1.6067; 3.2e+01; 25.2; 1.27e+09; 2.67e+08;002.58819;-10.42950
001029.91-101145.5; 1.7516; 7.9e+01; 16.1; 8.21e+08; 1.73e+08;002.62465;-10.19598
001033.34-095453.2; 1.5500; 6.5e+01; 19.2; 9.82e+08; 2.07e+08;002.63892;-09.91479
001039.86-110614.2; 1.0752; 1.5e+01; 18.5; 4.72e+08; 9.94e+07;002.66612;-11.10396
001049.30-093906.4; 1.5021; 4.0e+01; 15.9; 5.64e+08; 1.19e+08;002.70544;-09.65178
001053.56+000642.9; 1.8734; 8.8e+01; 22.8; 1.71e+09; 3.61e+08;002.72318;+00.11192
001054.40-085438.6; 1.7457; 2.4e+02; 20.6; 2.29e+09; 4.83e+08;002.72670;-08.91075
001100.24-093903.5; 1.5711; 1.8e+01; 16.7; 3.98e+08; 8.38e+07;002.75101;-09.65100
001106.59-092815.1; 1.1293; 8.4e+01; 22.5; 1.60e+09; 3.37e+08;002.77747;-09.47088
001111.13+151034.8; 1.7316; 6.7e+01; 19.2; 1.08e+09; 2.28e+08;002.79639;+15.17635
001128.82+151702.1; 1.3630; 3.5e+01; 18.0; 6.68e+08; 1.41e+08;002.87008;+15.28394
001130.40+005751.8; 1.4915; 2.7e+01; 17.6; 5.86e+08; 1.23e+08;002.87667;+00.96439
001130.67-111036.6; 1.0743; 2.3e+01; 19.1; 6.18e+08; 1.30e+08;002.87782;-11.17686
001138.43-104458.2; 1.2735; 7.5e+01; 23.2; 1.62e+09; 3.42e+08;002.91015;-10.74952
001139.79-091701.6; 1.0319; 8.2e+01; 21.0; 1.40e+09; 2.96e+08;002.91581;-09.28380
001142.79+152216.2; 1.8862; 1.2e+02; 21.1; 1.69e+09; 3.57e+08;002.92831;+15.37119
001147.67+151846.7; 1.3316; 4.0e+01; 24.2; 1.30e+09; 2.73e+08;002.94866;+15.31298
001149.93+160338.1; 1.1961; 1.3e+02; 17.6; 1.23e+09; 2.59e+08;002.95804;+16.06058
001157.75-103735.2; 1.8577; 1.4e+02; 19.4; 1.50e+09; 3.17e+08;002.99066;-10.62645
001200.16-085202.9; 1.2373; 3.5e+01; 20.7; 9.01e+08; 1.90e+08;003.00068;-08.86747
001214.19-095922.9; 1.2628; 6.1e+01; 25.4; 1.75e+09; 3.68e+08;003.05913;-09.98971
001218.21-102402.1; 1.6002; 3.2e+01; 19.1; 7.02e+08; 1.48e+08;003.07590;-10.40058
001234.10-092612.6; 1.4642; 6.9e+01; 20.9; 1.28e+09; 2.71e+08;003.14209;-09.43686
001241.39-100411.4; 1.2625; 2.7e+01; 43.6; 3.53e+09; 7.43e+08;003.17247;-10.06984
001244.62+141112.9; 1.7056; 7.8e+01; 24.0; 1.77e+09; 3.73e+08;003.18595;+14.18694
001252.46+002831.9; 1.6121; 8.5e+01; 16.8; 9.26e+08; 1.95e+08;003.21860;+00.47555
001257.76+010603.1; 1.0629; 4.3e+01; 19.9; 9.06e+08; 1.91e+08;003.24069;+01.10087
001303.35+143745.3; 1.3950; 7.4e+01; 17.5; 9.10e+08; 1.92e+08;003.26398;+14.62926
001318.06+154417.4; 1.2710; 4.0e+01; 16.2; 5.78e+08; 1.22e+08;003.32528;+15.73818
001318.92+160755.9; 1.5693; 6.0e+01; 21.6; 1.23e+09; 2.60e+08;003.32886;+16.13221
001330.57+001814.2; 1.8442; 6.2e+01; 16.7; 7.64e+08; 1.61e+08;003.37739;+00.30397
001335.33-103345.5; 0.8590; 1.2e+01; 17.7; 3.95e+08; 8.32e+07;003.39723;-10.56266
001335.75+141424.1; 1.5406; 8.0e+01; 19.6; 1.23e+09; 2.59e+08;003.39898;+14.24003
001340.17+145730.8; 0.8251; 3.1e+01; 22.6; 9.92e+08; 2.09e+08;003.41739;+14.95856
