#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2016-10-26T21:16:10 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ58111cd1150b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/A+A/445/423&tab:{J/A+A/445/423/table2}&tab:{J/A+A/445/423/cep}&key:source=J/A+A/445/423&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=J/A+A/445/423/table2,J/A+A/445/423/cep
#-order=I
#-out=Cl
#-out=RAJ2000
#-out=DEJ2000
#-out=RPer
#-out=RSig
#-out=IPer
#-out=ISig
#-out=Ramp
#-out=Iamp
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_34450423
#Name: J/A+A/445/423
#Title: WeCAPP Survey. M31 variables (Fliri+, 2006)
#Table	J_A_A_445_423_table2:
#Name: J/A+A/445/423/table2
#Title: Variables in Group 1-3
#Column	_RAJ2000	(F9.5)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F9.5)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Cl	(A3)	Classification (3)	[ucd=meta.code;src.var]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	RPer	(F9.4)	? Period derived from R band data	[ucd=time.period]
#Column	RSig	(F6.2)	? -log10 of significance of RP (1)	[ucd=stat.fit.goodness]
#Column	IPer	(F9.4)	? Period derived from I band data	[ucd=time.period]
#Column	ISig	(F6.2)	? -log10 of significance of IP (1)	[ucd=stat.fit.goodness]
#Column	Ramp	(F6.2)	Amplitude in broad-band R filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.R]
#Column	Iamp	(F6.2)	Amplitude in broad-band I filter (2)	[ucd=arith.rate;src.var.amplitude;em.opt.I]
_RAJ2000;_DEJ2000;Cl;RAJ2000;DEJ2000;RPer;RSig;IPer;ISig;Ramp;Iamp
deg;deg; ;"h:m:s";"d:m:s";d;[-];d;[-];10-5Jy;10-5Jy
---------;---------;---;-----------;------------;---------;------;---------;------;------;------
010.78437;+41.13508;S  ;00 43 08.25;+41 08 06.30; 146.0800; 21.71; 147.4800;  9.46;  0.50;  1.22
010.81275;+41.13522;S  ;00 43 15.06;+41 08 06.80; 163.0800; 26.98; 158.4600;  8.61;  0.65;  1.12
010.77846;+41.13511;S  ;00 43 06.83;+41 08 06.40; 248.5600; 19.51; 238.7400; 27.44;  0.46;  2.03
010.70404;+41.13472;S  ;00 42 48.97;+41 08 05.00; 282.7700; 10.62; 286.1500; 22.91;  0.44;  1.99
010.69829;+41.13469;S  ;00 42 47.59;+41 08 04.90; 198.8500; 32.44; 202.7800; 31.90;  0.69;  1.79
010.69263;+41.13478;S  ;00 42 46.23;+41 08 05.20; 126.8400; 25.29; 128.1500; 16.73;  0.66;  1.47
010.68150;+41.13472;S  ;00 42 43.56;+41 08 05.00; 354.9400; 22.04; 359.1200; 28.76;  0.55;  2.37
010.66454;+41.13464;S  ;00 42 39.49;+41 08 04.70; 172.4500; 12.26; 176.0700; 21.70;  0.40;  1.27
010.61154;+41.13436;S  ;00 42 26.77;+41 08 03.70; 331.7900; 13.79; 350.8600; 21.28;  0.48;  2.58
010.60750;+41.13431;S  ;00 42 25.80;+41 08 03.50; 321.3100; 20.78; 332.4600; 25.14;  0.54;  2.27
010.57383;+41.13411;S  ;00 42 17.72;+41 08 02.80; 206.2500; 26.07; 209.0800; 23.60;  0.61;  1.54
010.54275;+41.13394;S  ;00 42 10.26;+41 08 02.20; 342.9700; 11.12; 335.4400; 24.84;  0.49;  2.85
010.75050;+41.13500;S  ;00 43 00.12;+41 08 06.00; 150.3500; 23.06; 154.1100; 28.83;  0.61;  1.25
010.70233;+41.13497;I  ;00 42 48.56;+41 08 05.90; 103.0800; 15.66; 103.0800;  5.42;  0.45;  1.50
010.64142;+41.13453;I  ;00 42 33.94;+41 08 04.30; 226.1100; 16.02; 222.0100; 18.25;  0.83;  2.23
010.59458;+41.13431;S  ;00 42 22.70;+41 08 03.50; 295.5400;  6.61; 312.6200; 27.78;  0.43;  1.74
010.56146;+41.13408;I  ;00 42 14.75;+41 08 02.70; 148.9000; 18.45; 154.7300; 19.57;  0.45;  1.32
010.54054;+41.13406;S  ;00 42 09.73;+41 08 02.60; 324.7300;  4.25; 339.1700; 22.13;  0.47;  1.67
010.67462;+41.13528;S  ;00 42 41.91;+41 08 07.00; 331.7900;  3.19; 325.9300; 26.11;  0.36;  2.02
